time;power(kw);accuracy(sec)
00:00;440;3600
01:00;440;
02:00;440;
03:00;440;
04:00;880;
05:00;880;
06:00;880;
07:00;880;
08:00;880;
09:00;880;
10:00;3720;
11:00;3720;
12:00;3720;
13:00;3720;
14:00;3720;
15:00;3720;
16:00;3720;
17:00;3720;
18:00;3720;
19:00;3720;
20:00;4440;
21:00;4440;
22:00;4440;
23:00;4440;
00:00;4440;
01:00;4440;
02:00;4440;
03:00;4440;
04:00;4440;
05:00;4440;
06:00;4440;
07:00;4440;
08:00;4560;
09:00;4560;
10:00;4560;
11:00;4560;
12:00;4520;
13:00;4480;
14:00;4360;
15:00;4360;
16:00;4200;
17:00;4200;
18:00;4200;
19:00;4200;
20:00;4200;
21:00;4200;
22:00;4200;
23:00;4200;
00:00;4200;
01:00;4200;
02:00;4200;
03:00;4200;
04:00;4200;
05:00;4200;
06:00;4200;
07:00;4200;
08:00;4200;
09:00;4200;
10:00;4200;
11:00;4200;
12:00;3360;
13:00;3360;
14:00;3360;
15:00;3360;
16:00;3360;
17:00;3360;
18:00;3360;
19:00;3360;
20:00;3360;
21:00;3360;
22:00;3360;
23:00;3360;
00:00;3360;
01:00;3360;
02:00;3360;
03:00;3360;
04:00;3360;
05:00;3360;
06:00;3360;
07:00;3360;
08:00;2080;
09:00;2080;
10:00;2080;
11:00;2080;
12:00;2080;
13:00;400;
14:00;400;
15:00;1560;
16:00;200;
17:00;200;
18:00;0;
19:00;0;
20:00;0;
21:00;0;
22:00;0;
23:00;0;
