time;power(kw);accuracy(sec)
00:00;2953.436667;900
00:15;2885.92993;
00:30;2868.4955;
00:45;2936.532209;
01:00;2865.784669;
01:15;2875.218866;
01:30;2885.591668;
01:45;2887.137376;
02:00;2891.58063;
02:15;2909.327828;
02:30;2868.664466;
02:45;2872.305388;
03:00;2876.346869;
03:15;2867.263987;
03:30;2931.858937;
03:45;2880.727373;
04:00;2884.428718;
04:15;2933.591983;
04:30;2915.746545;
04:45;2901.595334;
05:00;2900.900523;
05:15;2895.891571;
05:30;2929.922688;
05:45;2899.576961;
06:00;2958.304614;
06:15;2934.977904;
06:30;2936.025064;
06:45;2958.065409;
07:00;2976.635433;
07:15;2943.491097;
07:30;2943.877299;
07:45;2942.470672;
08:00;2950.280991;
08:15;2909.271284;
08:30;2903.460608;
08:45;2910.702625;
09:00;2859.831769;
09:15;2926.247001;
09:30;2925.59163;
09:45;2913.677389;
10:00;2959.395917;
10:15;2909.591914;
10:30;2973.761082;
10:45;2927.126662;
11:00;2893.975091;
11:15;2925.709766;
11:30;2887.922382;
11:45;2948.343118;
12:00;2917.389522;
12:15;2922.29284;
12:30;2900.908616;
12:45;2946.021037;
13:00;2928.132638;
13:15;2921.053084;
13:30;3007.477402;
13:45;2950.252715;
14:00;2918.938772;
14:15;2969.51848;
14:30;2990.400083;
14:45;2952.07007;
15:00;3033.83255;
15:15;3016.473253;
15:30;3064.459835;
15:45;3072.304512;
16:00;3120.221677;
16:15;3084.166316;
16:30;3187.350838;
16:45;3102.570163;
17:00;3087.070358;
17:15;3138.846168;
17:30;3074.046438;
17:45;3091.317673;
18:00;3120.827987;
18:15;3129.4463;
18:30;3075.254942;
18:45;3127.894658;
19:00;3119.293564;
19:15;3105.936904;
19:30;3134.499283;
19:45;3147.45692;
20:00;3177.000756;
20:15;3152.474889;
20:30;3172.565025;
20:45;3125.372399;
21:00;3160.619312;
21:15;3196.400329;
21:30;3145.233049;
21:45;3226.370538;
22:00;3180.888357;
22:15;3260.41853;
22:30;3268.997718;
22:45;3250.092431;
23:00;2911.609514;
23:15;3243.253179;
23:30;3265.637831;
23:45;3327.332083;
;3328.713037;
;3295.982417;
;3318.903957;
;3314.196159;
;3376.148323;
;3351.765153;
;3288.559976;
;3351.045014;
;3305.795425;
;3254.920063;
;3366.670319;
;3377.470334;
;3426.446463;
;3411.190412;
