time;power(kw);accuracy(sec)
00:00;4706,200317;900
00:15;4690,640265;
00:30;4685,115873;
00:45;4685,054823;
01:00;4679,449949;
01:15;4678,917325;
01:30;4676,553889;
01:45;4687,08307;
02:00;4703,406611;
02:15;4720,37943;
02:30;4754,627583;
02:45;4788,246131;
03:00;4894,759521;
03:15;4989,246991;
03:30;5130,92287;
03:45;5310,126217;
04:00;5679,577005;
04:15;5988,940997;
04:30;6276,112927;
04:45;6611,703265;
05:00;7145,753441;
05:15;7612,399666;
05:30;8160,92624;
05:45;8599,571297;
06:00;9053,347774;
06:15;9395,853781;
06:30;9734,475142;
06:45;9962,194421;
07:00;10060,20655;
07:15;10149,22629;
07:30;10060,19142;
07:45;10123,60607;
08:00;10127,34884;
08:15;10209,85468;
08:30;10195,59062;
08:45;10256,02939;
09:00;10252,52739;
09:15;10301,10243;
09:30;10330,43032;
09:45;10283,19686;
10:00;10065,91261;
10:15;9927,516853;
10:30;9791,234365;
10:45;9757,584979;
11:00;9791,035349;
11:15;9828,998397;
11:30;9773,077653;
11:45;9751,826703;
12:00;9805,640339;
12:15;9833,880213;
12:30;9719,346358;
12:45;9634,633154;
13:00;9493,191293;
13:15;9452,701823;
13:30;9317,382988;
13:45;9119,18462;
14:00;8768,98728;
14:15;8498,83803;
14:30;8121,070209;
14:45;7823,754151;
15:00;7428,96609;
15:15;7120,221155;
15:30;6798,695463;
15:45;6585,516914;
16:00;6358,730059;
16:15;6207,035933;
16:30;6099,365244;
16:45;6022,20646;
17:00;5934,617219;
17:15;5867,034428;
17:30;5813,843815;
17:45;5764,272894;
18:00;5693,22873;
18:15;5645,454831;
18:30;5610,331127;
18:45;5570,283562;
19:00;5514,866099;
19:15;5473,850083;
19:30;5427,149788;
19:45;5366,761082;
20:00;5311,70471;
20:15;5271,176095;
20:30;5225,87575;
20:45;5158,417;
21:00;5089,672761;
21:15;5046,547127;
21:30;5001,435371;
21:45;4946,755987;
22:00;4885,154658;
22:15;4861,197293;
22:30;4829,087096;
22:45;4810,49274;
23:00;4686,291125;
23:15;4756,559403;
23:30;4738,9432;
23:45;4726,40086;
