Time;production;accuracy(sec)
00:00;0;3600
01:00;0;
02:00;0;
03:00;0;
04:00;0;
05:00;0;
06:00;0;
07:00;0;
08:00;8.331;
09:00;36.101;
10:00;36.101;
11:00;58.317;
12:00;91.641;
13:00;27.77;
14:00;16.662;
15:00;2.777;
16:00;0;
17:00;0;
18:00;0;
19:00;0;
20:00;0;
21:00;0;
22:00;0;
23:00;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;16.662;
;61.094;
;41.655;
;30.547;
;24.993;
;22.216;
;5.554;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;11.108;
;24.993;
;49.986;
;63.871;
;47.209;
;47.209;
;13.885;
;2.777;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;24.993;
;38.878;
;36.101;
;63.871;
;88.864;
;80.533;
;16.662;
;5.554;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;2.777;
;30.547;
;24.993;
;24.993;
;24.993;
;13.885;
;5.554;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;8.331;
;13.885;
;27.77;
;24.993;
;22.216;
;16.662;
;11.108;
;5.554;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;8.331;
;30.547;
;99.972;
;194.39;
;211.052;
;113.857;
;77.756;
;5.554;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;13.885;
;41.655;
;74.979;
;149.958;
;238.822;
;186.059;
;80.533;
;8.331;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;2.777;
;58.317;
;158.289;
;233.268;
;266.592;
;252.707;
;197.167;
;105.526;
;19.439;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;2.777;
;55.54;
;152.735;
;224.937;
;255.484;
;241.599;
;186.059;
;99.972;
;13.885;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;2.777;
;97.195;
;236.045;
;94.418;
;58.317;
;63.871;
;61.094;
;24.993;
;5.554;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;2.777;
;22.216;
;52.763;
;52.763;
;58.317;
;69.425;
;74.979;
;38.878;
;8.331;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;5.554;
;16.662;
;24.993;
;33.324;
;47.209;
;63.871;
;36.101;
;11.108;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;13.885;
;30.547;
;30.547;
;33.324;
;44.432;
;36.101;
;16.662;
;2.777;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;0;
;19.439;
;99.972;
;166.62;
;163.843;
;194.39;
