Time;production;accuracy(sec)
00:00;21.2354355;3600
01:00;22.6511312;
02:00;21.2354355;
03:00;19.8197398;
04:00;22.6511312;
05:00;21.2354355;
06:00;18.4040441;
07:00;19.8197398;
08:00;16.9883484;
09:00;15.5726527;
10:00;14.156957;
11:00;19.8197398;
12:00;14.156957;
13:00;14.156957;
14:00;14.156957;
15:00;15.5726527;
16:00;9.9098699;
17:00;11.3255656;
18:00;9.9098699;
19:00;9.9098699;
20:00;9.9098699;
21:00;9.9098699;
22:00;11.3255656;
23:00;11.3255656;
;14.156957;
;14.156957;
;15.5726527;
;21.2354355;
;15.5726527;
;16.9883484;
;16.9883484;
;16.9883484;
;14.156957;
;11.3255656;
;11.3255656;
;14.156957;
;16.9883484;
;15.5726527;
;12.7412613;
;15.5726527;
;18.4040441;
;22.6511312;
;22.6511312;
;29.7296097;
;33.9766968;
;35.3923925;
;33.9766968;
;29.7296097;
;24.0668269;
;28.313914;
;26.8982183;
;25.4825226;
;25.4825226;
;24.0668269;
;24.0668269;
;21.2354355;
;19.8197398;
;21.2354355;
;19.8197398;
;19.8197398;
;19.8197398;
;16.9883484;
;15.5726527;
;14.156957;
;14.156957;
;11.3255656;
;12.7412613;
;9.9098699;
;11.3255656;
;9.9098699;
;9.9098699;
;9.9098699;
;9.9098699;
;11.3255656;
;11.3255656;
;9.9098699;
;7.0784785;
;7.0784785;
;5.6627828;
;4.2470871;
;2.8313914;
;4.2470871;
;5.6627828;
;8.4941742;
;8.4941742;
;7.0784785;
;8.4941742;
;5.6627828;
;4.2470871;
;4.2470871;
;5.6627828;
;4.2470871;
;5.6627828;
;7.0784785;
;8.4941742;
;9.9098699;
;11.3255656;
;9.9098699;
;11.3255656;
;11.3255656;
;12.7412613;
;12.7412613;
;14.156957;
;15.5726527;
;16.9883484;
;15.5726527;
;18.4040441;
;16.9883484;
;16.9883484;
;16.9883484;
;18.4040441;
;15.5726527;
;11.3255656;
;11.3255656;
;9.9098699;
;5.6627828;
;4.2470871;
;5.6627828;
;8.4941742;
;7.0784785;
;7.0784785;
;9.9098699;
;9.9098699;
;8.4941742;
;9.9098699;
;9.9098699;
;9.9098699;
;8.4941742;
;8.4941742;
;8.4941742;
;8.4941742;
;8.4941742;
;9.9098699;
;9.9098699;
;9.9098699;
;9.9098699;
;9.9098699;
;8.4941742;
;9.9098699;
;8.4941742;
;8.4941742;
;7.0784785;
;8.4941742;
;9.9098699;
;8.4941742;
;9.9098699;
;12.7412613;
;12.7412613;
;11.3255656;
;12.7412613;
;14.156957;
;14.156957;
;14.156957;
;18.4040441;
;14.156957;
;19.8197398;
;19.8197398;
;16.9883484;
;15.5726527;
;12.7412613;
;8.4941742;
;8.4941742;
;8.4941742;
;8.4941742;
;9.9098699;
;14.156957;
;15.5726527;
;15.5726527;
;12.7412613;
;9.9098699;
;8.4941742;
;9.9098699;
;12.7412613;
;11.3255656;
;11.3255656;
;11.3255656;
;14.156957;
;15.5726527;
;14.156957;
;18.4040441;
;18.4040441;
;19.8197398;
;19.8197398;
;16.9883484;
;15.5726527;
;15.5726527;
;14.156957;
;14.156957;
;14.156957;
;14.156957;
;14.156957;
;14.156957;
;14.156957;
;14.156957;
;11.3255656;
;11.3255656;
;14.156957;
;14.156957;
;12.7412613;
;12.7412613;
;14.156957;
;15.5726527;
;14.156957;
;12.7412613;
;14.156957;
;15.5726527;
;15.5726527;
;14.156957;
;14.156957;
;12.7412613;
;14.156957;
;12.7412613;
;11.3255656;
;11.3255656;
;12.7412613;
;11.3255656;
;11.3255656;
;9.9098699;
;9.9098699;
;9.9098699;
;11.3255656;
;14.156957;
;9.9098699;
;8.4941742;
;9.9098699;
;11.3255656;
;12.7412613;
;11.3255656;
;12.7412613;
;11.3255656;
;9.9098699;
;8.4941742;
;7.0784785;
;9.9098699;
;7.0784785;
;5.6627828;
;5.6627828;
;7.0784785;
;7.0784785;
;5.6627828;
;4.2470871;
;7.0784785;
;5.6627828;
;4.2470871;
;5.6627828;
;4.2470871;
;4.2470871;
;4.2470871;
;2.8313914;
;7.0784785;
;7.0784785;
;5.6627828;
;4.2470871;
;2.8313914;
;4.2470871;
;2.8313914;
;2.8313914;
;2.8313914;
;2.8313914;
;2.8313914;
;1.4156957;
;1.4156957;
;1.4156957;
;2.8313914;
;2.8313914;
;1.4156957;
;1.4156957;
;2.8313914;
;2.8313914;
;2.8313914;
;2.8313914;
;2.8313914;
;2.8313914;
;2.8313914;
;4.2470871;
;2.8313914;
;5.6627828;
;5.6627828;
;7.0784785;
;5.6627828;
;4.2470871;
;4.2470871;
;4.2470871;
;4.2470871;
;4.2470871;
;4.2470871;
;5.6627828;
;4.2470871;
;5.6627828;
;7.0784785;
;8.4941742;
;8.4941742;
;7.0784785;
;8.4941742;
;8.4941742;
;9.9098699;
;9.9098699;
;9.9098699;
;8.4941742;
;11.3255656;
;9.9098699;
;9.9098699;
;11.3255656;
;11.3255656;
;14.156957;
;12.7412613;
;14.156957;
;11.3255656;
;14.156957;
;12.7412613;
;12.7412613;
;11.3255656;
;11.3255656;
;8.4941742;
;9.9098699;
;11.3255656;
;9.9098699;
;11.3255656;
;12.7412613;
;11.3255656;
;12.7412613;
;14.156957;
;12.7412613;
;12.7412613;
;14.156957;
;12.7412613;
;12.7412613;
;12.7412613;
;11.3255656;
;9.9098699;
;9.9098699;
;11.3255656;
;11.3255656;
;11.3255656;
;11.3255656;
;8.4941742;
;7.0784785;
;8.4941742;
;9.9098699;
;11.3255656;
;11.3255656;
;9.9098699;
;8.4941742;
;8.4941742;
;9.9098699;
;12.7412613;
;11.3255656;
;12.7412613;
;14.156957;
;12.7412613;
;15.5726527;
;8.4941742;
;11.3255656;
;11.3255656;
;9.9098699;
;8.4941742;
;7.0784785;
;8.4941742;
;7.0784785;
;5.6627828;
;5.6627828;
;5.6627828;
;9.9098699;
;8.4941742;
;14.156957;
;7.0784785;
;9.9098699;
;9.9098699;
;8.4941742;
;9.9098699;
;11.3255656;
;11.3255656;
;11.3255656;
;11.3255656;
;9.9098699;
;8.4941742;
;9.9098699;
;11.3255656;
;9.9098699;
;11.3255656;
;11.3255656;
;9.9098699;
;8.4941742;
;9.9098699;
;9.9098699;
;8.4941742;
;8.4941742;
;9.9098699;
;8.4941742;
;7.0784785;
;5.6627828;
;5.6627828;
;4.2470871;
;5.6627828;
;4.2470871;
;2.8313914;
;1.4156957;
;1.4156957;
;2.8313914;
;2.8313914;
;2.8313914;
;2.8313914;
;2.8313914;
;4.2470871;
;2.8313914;
;2.8313914;
;2.8313914;
;2.8313914;
;2.8313914;
;2.8313914;
;1.4156957;
;1.4156957;
;1.4156957;
;1.4156957;
;1.4156957;
;1.4156957;
;1.4156957;
;1.4156957;
;2.8313914;
;5.6627828;
;11.3255656;
;9.9098699;
;8.4941742;
;7.0784785;
;4.2470871;
;2.8313914;
;1.4156957;
;2.8313914;
;2.8313914;
;2.8313914;
;4.2470871;
;7.0784785;
;11.3255656;
;9.9098699;
;7.0784785;
;7.0784785;
;7.0784785;
;7.0784785;
;5.6627828;
;4.2470871;
;5.6627828;
;7.0784785;
;7.0784785;
;8.4941742;
;11.3255656;
;9.9098699;
;12.7412613;
;11.3255656;
;8.4941742;
;8.4941742;
;9.9098699;
;9.9098699;
;11.3255656;
;9.9098699;
;9.9098699;
;8.4941742;
;9.9098699;
;11.3255656;
;11.3255656;
;9.9098699;
;9.9098699;
;11.3255656;
;11.3255656;
;11.3255656;
;12.7412613;
;12.7412613;
;12.7412613;
;14.156957;
;12.7412613;
;11.3255656;
;9.9098699;
;9.9098699;
;9.9098699;
;11.3255656;
;11.3255656;
